FCL Item code,FCL Title,Group,Scientific Name,Common Name,Definition
1044,"Pigskins, fresh",19 - HIDES AND SKINS,,,"See 0919. In many countries, pigskins are not removed from the carcasses."
1045,"Skins, Wet-Salted (Pigs)",19 - HIDES AND SKINS,,,See 0920.
1046,"Skins, Dry-Salted (Pigs)",19 - HIDES AND SKINS,,,See 0921.
1047,"Skins nes, Pigs",19 - HIDES AND SKINS,,,See 0922.
1057,Chickens,16 - LIVESTOCK,"Gallus domesticus 
Numida meleagris","fowl 
Guinea fowl",Domesticated birds only. Data are expressed in thousands.
1058,Chicken meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen. May include all types of poultry meat if national statistics do not report separate data."
1059,Offals and liver of chickens,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1060,Fatty Liver Preparations,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fatty livers of ducks and geese when cooked, prepared or preserved (e.g. paté)."
1061,"Meat, Canned (Poultry)",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,Includes meat and offals of poultry. See 0875.
1062,Hen eggs,18 - PRODUCTS FROM LIVE ANIMALS,,,Weight in shell.
1063,"Eggs, Liquid",18 - PRODUCTS FROM LIVE ANIMALS,,,"Whole eggs, not in the shell, and egg yolks in liquid form that are frozen or otherwise preserved."
1064,"Eggs, Dried",18 - PRODUCTS FROM LIVE ANIMALS,,,"Whole eggs and egg yolks, dried or powdered."
1065,Fat of poultry,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered poultry fat.
1066,"Fat of Poultry, Rendered",14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Rendered poultry fat, including bone fat and fat obtained from waste."
1067,"Hen eggs, (number)",18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
1068,Ducks,16 - LIVESTOCK,Anas spp.,,See 1057.
1069,Duck meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1072,Geese,16 - LIVESTOCK,Anser spp.,,See 1057.
1073,Goose meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1074,Offals and liver of geese,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen, salted or in brine."
1075,Offals and liver of ducks,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen, salted or in brine."
1079,Turkeys,16 - LIVESTOCK,Meleagris gallopavo,,See 1057.
1080,Turkey meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1081,Offals and liver of turkey,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,No definition available.
1083,Pigeons and other birds,16 - LIVESTOCK,"Including among all: 
Alectoris rufa 
Columba livia 
Coturnis spp. 
","
partridge 
pigeon 
quail 
turtle dove 
pheasant",See 1057.
1089,Meat of pigeons and other birds nes,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1091,"Eggs, excluding hen eggs",18 - PRODUCTS FROM LIVE ANIMALS,,,Weight in shell.
1092,"Eggs, excluding hen eggs (number)",18 - PRODUCTS FROM LIVE ANIMALS,,,No definition available.
1096,Horses,16 - LIVESTOCK,Equus caballus,,See 0866.
1097,Horse meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1098,Offals of horses,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1100,Hair of horses,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Includes hair of the manes and tails of equine and bovine animals and waste therefrom. Hair from flanks included in 1219.
1102,"Horse hides, fresh",19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
1103,"Hides, Wet-Salted (Horses)",19 - HIDES AND SKINS,,,See 0920. Includes hides of asses and mules.
1104,"Hides, Dry-Salted (Horses)",19 - HIDES AND SKINS,,,See 0921. Includes hides of asses and mules.
1105,"Hides nes, Horses",19 - HIDES AND SKINS,,,See 0922. Includes hides of asses and mules.
1107,Asses,16 - LIVESTOCK,Equus asinus,,See 0866.
1108,Meat of asses,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1109,"Hides of asses, fresh",19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
1110,Mules,16 - LIVESTOCK,,,Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 0866.
1111,Meat of mules,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1112,"Hides of mules, fresh",19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
1126,Camels,16 - LIVESTOCK,"Camelus bactrianus
Camelus dromedarius","Bactrian camel
Arabian camel",See 0866.
1127,Meat of camels,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1128,"Offals of camels, edibles",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1129,Fat of camels,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered slaughter fats.
1130,Camel milk,18 - PRODUCTS FROM LIVE ANIMALS,,,See 0882.
1133,"Camel hides, fresh",19 - HIDES AND SKINS,,,See 0919. Both adult and young animals.
1134,"Hides, Wet-Salted (Camels)",19 - HIDES AND SKINS,,,See 0920.
1135,"Hides, Dry-Salted (Camels)",19 - HIDES AND SKINS,,,See 0921.
1136,"Hides nes, Camels",19 - HIDES AND SKINS,,,See 0922.
1140,Rabbits,16 - LIVESTOCK,Oryctolagus cuniculus,,See 0866. May include domesticated hares (Lepus spp.). Data are expressed in thousands.
1141,Rabbit meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen. May include hare meat."
1146,Rabbit skins,19 - HIDES AND SKINS,,,"See 0919. Both adult and young animals. Trade data include processed skins, including angora."
1150,Other rodents,16 - LIVESTOCK,,,"See 0866. Includes only those used mainly for meat, e.g. Guinea pig. Rodents used mainly for fur skins are included in Code 1169. Data are expressed in thousands."
1151,Meat of other domestic rodents,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1157,Other camelids,16 - LIVESTOCK,"Including among all: 
glama pacos 
peruana 
huanacos 
vicugna","
alpaca 
llama 
guanaco 
vicuÃ±a",See 0866.
1158,Meat of other domestic camelids,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1160,Fat of other camelids,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered slaughter fats.
1163,Game meat,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat and offals of wild animals, whether fresh, chilled or frozen."
1164,"Meat, Dried nes",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat, except of bovines and pigs, salted, in brine or smoked."
1166,Meat nes,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Including frog legs, marine mammals, etc. Some countries include under this heading meats that are listed above, but which are not reported separately. Fresh, chilled or frozen."
1167,Offals nes,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
1168,Animal Oils and Fats nes,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Animal oils and fats obtained from other animal species and oils and fats recovered from guts, feet, sweepings, hide trimmings, etc."
1169,"Live animals, non food nes",16 - LIVESTOCK,,,Any animal not raised for food. External trade data also include wild animals.
1171,Live animals nes,16 - LIVESTOCK,,,"Any other animal grown for meat, eggs, feathers and skins, e.g. ostrich, antelope, deer, reindeer, chamois."
1172,"Meat, Prepared nes",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Excludes poultry, swine or bovine meat preparations."
1173,Meat Meal,11 - FODDER CROPS AND PRODUCTS,,,"Flours, meals and pellets of meat and offal (including of marine mammals); greaves and tankage. Used for feed."
1174,Fish Meal,11 - FODDER CROPS AND PRODUCTS,,,"Flours, meals and pellets from fish, crustaceans, molluscs or other aquatic invertebrates. Used for feed."
1175,Blood Meal,11 - FODDER CROPS AND PRODUCTS,,,"Flours, meals and pellets obtained through dehydration of blood. Used for feed."
1176,Snails o/t sea snails,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled, frozen, dried, salted or in brine."
1181,Beehives,16 - LIVESTOCK,"Apis mellifica 
Apis dorsata 
Apis florea 
Apis indica",,A beehive is an artificial habitation for bees.
1182,Honey,3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS,,,Honey produced by bees (Apis mellifera) or by other insects.
1183,Beeswax,18 - PRODUCTS FROM LIVE ANIMALS,,,"The substance bees use to build the hexagonal cells of the combs of beehives. Includes other insect waxes as well, i.e. lac and Chinese wax."
1185,"Cocoons, reelable",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Silkworm cocoons suitable for reeling. Foreign trade data are expressed in silk equivalent, which is 25% of their weight."
1186,"Silk, Raw",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Obtained by reeling the filaments from cocoons. Not thrown.
1187,"Cocoons Unreelable, Waste",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Include cocoons unsuitable for reeling and silk waste of all kinds. Not carded or combed.
1195,Fur skin,19 - HIDES AND SKINS,,,"High-value raw skins, e.g. mink, fox, beaver."
1213,"Hides and skins nes, fresh",19 - HIDES AND SKINS,,,"See 0919. Both adult and young animals. Includes, among others, chamois, antelope, crocodile and snake."
1214,"Hides, Wet-Salted nes",19 - HIDES AND SKINS,,,See 0920.
1215,"Hides, Dry-Salted nes",19 - HIDES AND SKINS,,,See 0921.
1216,Hides nes,19 - HIDES AND SKINS,,,See 0922.
1217,"Leather, Used and Waste",19 - HIDES AND SKINS,,,"Parings and other waste of leather, leather dust, powder and flour."
1218,"Hair, fine",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Fine animal hair, mainly from alpaca, llama, vicuña, camel and angora rabbit. Excludes carded or combed hair."
1219,"Hair, coarse nes",9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Hair from flanks of equines and bovines, as well as hair from other animals, such as dogs and monkeys. Excludes carded or combed hair."
1221,Lard Stearine and Lard Oil,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Obtained by pressing lard or tallow (oleo-oil, tallow oil, tallow stearine)."
1222,Degras,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,A residue from tanning leather that is obtained either by pressing or by extraction with solvents.
1223,Oil from Fish and Marine Mammals,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Fats and oils from fish and marine mammals extracted from the body or liver, whether or not refined, but not chemically modified."
1225,Tallow,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Rendered fats of animals other than pigs, excluding tallow oil or stearine."
1232,Food Preparations nes,13 - TOBACCO AND RUBBER AND OTHER CROPS,,," 
Group 13 - TOBACCO AND RUBBER AND OTHER CROPS

Including both crop and livestock products. Inter alia: homogenized composite food preparations; soups and broths; ketchup and other sauces; mixed condiments and seasonings; vinegar and substitutes; yeast and baking powders; stuffed pasta, whether or not cooked; couscous; and protein concentrates.

Group 20 - OTHER LIVESTOCK PRODUCTS

Include inter alia: turtle eggs and birds' nests."
1241,Liquid Margarine,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,See commodity code 1242. Fat content varies from 30 to 70%.
1242,Margarine and Shortening,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Margarine is made principally from one or more hydrogenated vegetable or animal fats or oils in which is dispersed an aqueous potion containing milk products, salt, flavouring agents and other additives. Shortening is a product similar to margarine, but with a higher animal fat content. Shortening and compound fats are used primarily for baking and frying. The fat content of margarine and shortening varies from 70 to 90%."
1243,Fat Preparations nes,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Cooking fats prepared from both vegetable and animal oils and fats. Usually containing 100% fat.
1259,"Food Waste, Prep. for Feed",11 - FODDER CROPS AND PRODUCTS,,,Same coverage as 0653.
1273,"Castor Oil, Hydrogenated",14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Also called ""opal wax""."
1274,"Oils Boiled, Dehydrated, etc.",14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Also includes oxidized and sulphurized oils. Animal and vegetable fats and oils whose chemical structure has been modified to improve viscosity, drying ability or other properties."
1275,Hydrogenated Oils and Fats,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Animal and vegetable fats and oils that have been hydrogenated to raise their melting point and increase their consistency by transforming unsaturated glycerides into saturated glycerides.
1276,Fatty Acids,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Manufactured by the saponification or hydrolysis of natural fats or oils. Including acid oils from refining.
1277,Residues of Fatty Substances,20 - OTHER LIVESTOCK PRODUCTS,,,Residues resulting from the tratment of fatty substances or animal or vegetable waxes.
1291,Arabic gum,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,Latex exuded by some acacias.
1292,Other resins,13 - TOBACCO AND RUBBER AND OTHER CROPS,"Including among all: 
Copaifera spp. 
Astragalus spp. 
Boswellia spp. 
Commiphora spp. 
Myroxilon balsamum; Myroxilon Pereira","
copaiba, copal 
gum tragacanth 
incense 
myrrh, opopanax, Mecca balsam 
tolu balsam, peru balsam","Including lac (resinous substance produced by an insect on several kinds of tropical trees), gums, gum-resins and balsams (vegetable secretions which may solidify on contact with air)."
1293,Crude Organic Materials nes,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,"This code covers products of two different groups: Group 13 - Tobacco, Rubber and Other Crops, and Group 20 - Other Livestock Products."
,,,,,
,,,,,"GROUP 13 - TOBACCO, RUBBER AND OTHER CROPS"
,,,,,
,,,,,"Trade data are expressed in value terms only. Including, of vegetable origin: bulbs, tubers, tuberous roots, corms, crowns and rhizomes; live plants, cuttings and slips; mushroom spawn; cut flowers and flower buds; foliage, branches and grasses, mosses and lichens; plants and parts used primarily in perfumes, pharmaceuticals, insecticides, fungicides, or for similar purposes; seaweeds and other algae; vegetable saps and extracts; materials used for plaiting, stuffing or padding; materials used primarily in brooms or brushes; and materials used primarily in dyeing and tanning."
,,,,,
,,,,,Group 20 - OTHER LIVESTOCK PRODUCTS
,,,,,
,,,,,"Trade data are expressed in value terms only. Includes of animal origin: human hair, unworked and waste; pigs bristles and hair; badger hair and other brush- making hair and waste; guts, bladders and stomachs of animals (o/t fish); skins and other parts of birds with their feathers or down; bones and horn-cores, unworked, defatted, simply prepared; powder and waste; ivory, tortoiseshell, whalebone, claws and beaks; coral and shells of molluscs and crustaceans; sponges of animal origin, ambergris, castoreum, civet and musk; cantharides, bile glands and other animal products used in pharmaceuticals."
1294,Seeds for Planting,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,"Seeds, fruits and spores used for sowing. Excludes cereals, oilseeds, pulses and spices, even if intended for sowing."
1295,Spermaceti,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Waxy substance extracted from the fat of sperm whales and similar cetaceans.
1296,Vegetable waxes,13 - TOBACCO AND RUBBER AND OTHER CROPS,"Including among all: 
Euphorbia antisyphilitica; Pedilanthus pavonis 
Copernicia cerifera 
Attalea excelsa 
Ceroxylon andicolum","
candelilla 
carnauba 
urucury 
palm wax","Vegetable waxes, whether crude or refined, bleached or coloured. Excludes mixtures and chemically modified waxes."
1309,"Insecticides, total (Consumption)",21 - FERTILIZERS,,,No definition available.
1310,Chlorinated Hydrocarbons (Consumption),21 - PESTICIDES,,,No definition available.
1311,Organo-Phosphates (Consumption),21 - PESTICIDES,,,No definition available.
1312,Carbamates insecticides (Consumption),21 - PESTICIDES,,,No definition available.
1313,Pyrethroids (Consumption),21 - PESTICIDES,,,No definition available.
1314,Botanical products and biologicals (Consumption),21 - PESTICIDES,,,No definition available.
1315,Other Insecticides (Consumption),21 - PESTICIDES,,,No definition available.
1316,Mineral Oils (Consumption),21 - PESTICIDES,,,No definition available.
1317,Dithiocarbamates fungicides seed treatments (Consumption),21 - PESTICIDES,,,No definition available.
1318,Benzimidazoles fungicides seed treatments (Consumption),21 - PESTICIDES,,,No definition available.
1319,"Triazoles, diazoles fungicides seed treatments (Consumption)",21 - PESTICIDES,,,No definition available.
1320,"Herbicides, total",21 - FERTILIZERS,,,No definition available.
1321,Phenoxy Hormone Products (Consumption),21 - PESTICIDES,,,No definition available.
1322,Triazines (Consumption),21 - PESTICIDES,,,No definition available.
1323,Amides (Consumption),21 - PESTICIDES,,,No definition available.
1324,Carbamates herbicides (Consumption),21 - PESTICIDES,,,No definition available.
1325,Dinitroanilines (Consumption),21 - PESTICIDES,,,No definition available.
1326,Urea derivates (Consumption),21 - PESTICIDES,,,No definition available.
1327,Other Herbicides (Consumption),21 - PESTICIDES,,,No definition available.
1328,Sulfonyl Ureas (Consumption),21 - PESTICIDES,,,No definition available.
1329,Bipiridils (Consumption),21 - PESTICIDES,,,No definition available.
1330,Uracil (Consumption),21 - PESTICIDES,,,No definition available.
1331,"Fungicides and bactericides, total",21 - FERTILIZERS,,,No definition available.
1332,Inorganics (Consumption),21 - PESTICIDES,,,No definition available.
1333,Dithiocarbamates (Consumption),21 - PESTICIDES,,,No definition available.
1334,Benzimidazoles (Consumption),21 - PESTICIDES,,,No definition available.
1335,"Triazoles, Diazoles (Consumption)",21 - PESTICIDES,,,No definition available.
1336,"Diazines, Morpholines (Consumption)",21 - PESTICIDES,,,No definition available.
1337,Other Fungicides (Consumption),21 - PESTICIDES,,,No definition available.
1338,"Botanical products and biologicals, fungicides seed treatments (Consumption)",21 - PESTICIDES,,,No definition available.
1339,"Others, fungicides seed treatments (Consumption)",21 - PESTICIDES,,,No definition available.
1340,Organo-phospates insecticides seed treatments (Consumption),21 - PESTICIDES,,,No definition available.
1341,Plant Growth Regulators (Consumption),21 - PESTICIDES,,,No definition available.
1342,Carbamates insecticides seed treatments (Consumption),21 - PESTICIDES,,,No definition available.
1343,Pyrethroids insecticides seed treatments (Consumption),21 - PESTICIDES,,,No definition available.
1344,"Others, insecticides seed treatments (Consumption)",21 - PESTICIDES,,,No definition available.
1345,"Rodenticides, total (Consumption)",21 - FERTILIZERS,,,No definition available.
1346,Anticoagulants (Consumption),21 - PESTICIDES,,,No definition available.
1347,Other rodenticides (Consumption),21 - PESTICIDES,,,No definition available.
1348,Cyanide generators (Consumption),21 - PESTICIDES,,,No definition available.
1349,Hypercalcaemics (Consumption),21 - PESTICIDES,,,No definition available.
1350,Narcotics (Consumption),21 - PESTICIDES,,,No definition available.
1351,Disinfectants (Consumption),21 - PESTICIDES,,,No definition available.
1352,"Fungicides seed treatments, total (Consumption)",21 - FERTILIZERS,,,No definition available.
1353,"Insecticides seed treatments, total (Consumption)",21 - FERTILIZERS,,,No definition available.
1355,Other pesticides nes (Consumption),21 - PESTICIDES,,,No definition available.
1357,Pesticides (Trade),21 - PESTICIDES,,,"Value of trade covering insecticides, fungicides, herbicides, disinfectants and others, as described by the Harmonised Coding System (HS) code 3808. Data refer to the value of the trade expressed in 1000 USD"
1360,Nitrogenous fertilizers,22 - FERTILIZERS,,,No definition available.
1375,Phosphate fertilizers,22 - FERTILIZERS,,,No definition available.
1386,Potash fertilizers,22 - FERTILIZERS,,,No definition available.
1397,"Fertilizers Manufactured, nes",22 - FERTILIZERS,,,Mineral or chemical fertilizers not elsewhere specified.
1398,Natural Sodium Nitrate,22 - FERTILIZERS,,,Chemically obtained product containing sodium nitrate as its essential ingredient. The minimum content of nutrients is 15% N (Nitrogen expressed as nitric nitrogen).
1399,Natural Phosphates,22 - FERTILIZERS,,,"Products obtained by grinding soft mineral phosphates and containing tricalcium phosphate and calcium carbonate as essential ingredients. The minimum content of nutrients is 25% P2O5(Phosphorus expressed as P2O5 soluble in mineral acids, at least 55% of the declared content of P2O5 being soluble in 2% formic acid)."
1400,Natural Potassic Salts,22 - FERTILIZERS,,,"Products obtained from crude potassium salts. The minimum content of nutrients is 10% K2O (Potassium expressed as water-soluble K2O) and 5% MgO (Magnesium in the form of water soluble salts, expressed as magnesium oxide)."
1401,"Fertilizers, Organic",22 - FERTILIZERS,,,"Animal or vegetable fertilizers, whether or not mixed together or chemically treated; fertilizers produced by the mixing or chemical treatment of animal or vegetable products."
1416,Insecticides (Trade),21 - PESTICIDES,,,Value of trade covering insecticides as described by the Harmonised Coding System (HS) code 3808.10 Data refer to the value of the trade expressed in 1000 USD
1417,Fungicides (Trade),21 - PESTICIDES,,,Value of trade covering fungicides as described by the Harmonised Coding System (HS) code 3808.20 Data refer to the value of the trade expressed in 1000 USD
1418,Herbicides (Trade),21 - PESTICIDES,,,Value of trade covering herbicides as described by the Harmonised Coding System (HS) code 3808.30. Data refer to the value of the trade expressed in 1000 USD
1419,"Disinfectants,etc (Trade)",21 - PESTICIDES,,,"Value of trade covering disinfectants and others, as described by the Harmonised Coding System (HS) codes 3808.40,90. Data refer to the value of the trade expressed in 1000 USD"
1422,Mercury compounds etc. excl. amalgams spartana (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2852. Data refer to quantity of the trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1423,Ethylene dichloride (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.15. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1424,"Ethylene dibromide (1,2-dibromoethane) (Trade)",21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.31. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1425,HCH (mixed isomers) / Lindane (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.51. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1426,"Aldrin, Chlordane, Heptachlor (Trade)",21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.52. Data refer to the quantity of trade expressed in kilogram of net weight and value of trade expressed in 1000 USD
1427,"DDT, Hexachlorobenzene (Trade)",21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2903.62. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1428,Pentachlorophenol (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2908.11. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1429,Salts of Pentachlorophenol (excl 280811),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2908.19. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1430,Dinoseb and dinoseb salts (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2908.91. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1431,DNOC and its salts (excl. 290811-290891) (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2908.99. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1432,Oxirane (ethylene oxide) (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2910.10. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1433,Dieldrin (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2910.40. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1434,Dinoseb acetate (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2915.36. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1435,Binapacryl (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2916.36. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1436,Chlorobenzilate (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2918.18. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1437,"2,4,5-T and its salts and esters (Trade)",21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2918.91. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1438,Parathion & parathion-methyl (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2920.11. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1439,"Fluoroacetamide, monocrotophos & phosphamidon (Trade)",21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2924.12. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1440,Chlordimeform (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2925.21. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1441,Captafol & methamidophos (Trade),21 - PESTICIDES,,,Quantity and value of trade covering goods described by the Harmonised Coding System (HS) codes 2930.50. Data refer to the quantity of trade expressed in kilogram of net weight and value of the trade expressed in 1000 USD
1442,Hazardous pesticides (Trade),21 - PESTICIDES,,,"Value of trade covering goods as described by Harmonised Coding System (HS) code 3808.50 Subheading 3808.50 covers only goods of heading 38.08, containing one or more of the following substances: aldrin (ISO); binapacryl (ISO); camphechlor (ISO) (toxaphene); captafol (ISO); chlordane (ISO); chlordimeform (ISO); chlorobenzilate (ISO); DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane); dieldrin (ISO, INN); dinoseb (ISO), its salts or its esters; ethylene dibromide (ISO) (1,2-dibromoethane); ethylene dichloride (ISO) (1,2-dichloroethane); fluoroacetamide (ISO); heptachlor (ISO); hexachlorobenzene (ISO); 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN); mercury compounds; methamidophos (ISO); monocrotophos (ISO); oxirane (ethylene oxide); parathion (ISO); parathion-methyl (ISO) (methyl-parathion); pentachlorophenol (ISO); phosphamidon (ISO); 2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts or its esters. Data refer to the value of the trade expressed in 1000 USD"
1443,Insecticides (excl. Haz. pest.) (Trade),21 - PESTICIDES,,,Value of trade covering insecticides as described by the Harmonised Coding System (HS) code 3808.91 Data refer to the value of the trade expressed in 1000 USD
1444,Fungicides (excl. Haz. pest.) (Trade),21 - PESTICIDES,,,Value of trade covering fungicides as described by the Harmonised Coding System (HS) code 3808.92 Data refer to the value of the trade expressed in 1000 USD
1445,Herbicides (excl. Haz. pest.) (Trade),21 - PESTICIDES,,,Value of trade covering herbicides as described by the Harmonised Coding System (HS) code 3808.93. Data refer to the value of the trade expressed in 1000 USD
1446,"Disinfectants, etc (excl. Haz. pest.) (Trade)",21 - PESTICIDES,,,"Value of trade covering disinfectants and others, as described by the Harmonised Coding System (HS) codes 3808.94,99. Data refer to the value of the trade expressed in 1000 USD"
2455001,Ploughs,23 - MACHINERY,,,Ploughs are implements designed to lift and turn soil. Data are expressed in numbers in use in the agricultural sector.
2455002,Seeders,23 - MACHINERY,,,Seeders are implements for sowing seeds or grain evenly in well-spaced rows at specific depths. Data are expressed in numbers in use in the agricultural sector.
