FCL Item code,FCL Title,Crop category,Source,Category,Categorized,Category (from FAO production definitions),Group,Scientific Name,Common Name,Definition
580,"Juice of Pineapples, Concentrated",Other crops,Pineapples,Fruits,Yes,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,See 0492. Soluble fruit solids of not less than 27% by weight.
583,Juice of Mango,Other crops,"Juice, mango",Fruits,No,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,See 0491.
584,Mango Pulp,Other crops,Mango pulp,Fruits,No,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,"Fruit pulp prepared in water, syrup, etc."
587,Persimmons,Other crops,Persimmons,Fruits,No,Crops Primary,8 - FRUITS AND DERIVED PRODUCTS,"Diospyros kaki 
Diospyros virginiana",,No definition available.
591,Cashewapple,Other crops,Cashew,Fruits,Yes,Crops Primary,8 - FRUITS AND DERIVED PRODUCTS,Anacardium occidentale,,"The thickened, fleshy stem below the cashew nut. When soft it is used for jam."
592,Kiwi fruit,Other crops,Kiwi fruit,Fruits,No,Crops Primary,8 - FRUITS AND DERIVED PRODUCTS,Actinidia chinensis,,No definition available.
600,Papayas,Other crops,Papayas,Fruits,No,Crops Primary,8 - FRUITS AND DERIVED PRODUCTS,Carica papaya,,No definition available.
603,"Fruit, tropical (fresh) nes",Other crops,"Fruit, tropical fresh nes",Fruits,No,Crops Primary,8 - FRUITS AND DERIVED PRODUCTS,"Including among all: 
Artocarpus incisa 
Averrhoa carambola 
Annona spp. 
Durio zibethinus 
Feijoa sellowiana 
Psidium guajava 
Spondias spp. 
Artocarpus integrifolia 
Nephelium longan 
Mammea americana 
Garcinia mangostana 
Solanum quitoense 
Passiflora edulis 
Nephelium lappaceum 
Calocarpum mammosum 
Achras sapota 
Chrysophyllum spp","
breadfruit 
carambola 
cherimoya, custard apple 
durian 
feijoa 
guava 
hog plum, mombin 
jackfruit 
longan 
mammee 
mangosteen 
naranjillo 
passion fruit 
rambutan 
sapote, mamey colorado 
sapodilla 
star apple, cainito","Other tropical fresh fruit are not identified separately because of their minor relevance at the international level. In some countries mangoes, avocados, pineapples, dates and papayas are reported under this general category."
604,"Fruit, tropical (Dried) nes",Other crops,"Fruit, tropical dried nes",Fruits,No,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,"Including, whenever possible, dried bananas, plantains and pineapples as well as other unlisted tropical fruits."
619,"Fruit, fresh nes",Other crops,"Fruit, fresh nes",Fruits,No,Crops Primary,8 - FRUITS AND DERIVED PRODUCTS,"Including among all: 
Crataegus azarolus 
Carica pentagona 
Sambucus nigra 
Zizyphus jujuba 
Nephelium litchi 
Eriobotrya japonica 
Mespilus germanica 
Asimina triloba 
Punica granatum 
Opuntia ficus-indica 
Rosa spp. 
Sorbus aucuparia 
Sorbus domestica 
Tamarindus indica 
Arbutus unedo","
azarole 
babaco 
elderberry 
jujube 
litchi 
loquat 
medlar 
pawpaw 
pomegranate 
prickly pear 
rose hips 
rowanberry 
service-apple 
tamarind 
tree-strawberry","Other fresh fruit that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report fresh fruit under this heading that are classified separately by FAO."
620,"Fruit, dried nes",Other crops,"Fruit, dried nes",Fruits,No,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,"Dried fruit other than apricots, dates, citrus, figs, grapes, nuts and plums."
622,Juice of fruits nes,Other crops,"Juice, fruit nes",Fruits,No,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,See 0491.
623,"Fruit, prepared nes",Other crops,"Fruit, prepared nes",Fruits,No,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,"Fruit, nuts and peel, including frozen, prepared or preserved, jam, paste, marmalade, pure and cooked fruits, other than those listed separately."
624,Flour of Fruits,Other crops,"Flour, fruit",Fruits,No,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,"Includes the flour, meal, powder, nuts and peel of fruits."
625,"Fruit, Nuts, Peel, Sugar Preserved",Other crops,"Fruits, nuts, peel, sugar preserved",Fruits,No,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,"Fruit, nuts, fruit peel, and other parts of plants preserved with sugar (either drained, glazed or crystallized)."
626,"Homogenized Cooked Fruit, Prepared",Other crops,"Fruit, cooked, homogenized preparations",Fruits,No,#N/A,8 - FRUITS AND DERIVED PRODUCTS,,,"Cooked fruit preparations, homogenized for dietetic and infant foods."
628,"Pulp, Waste of Fruit for Feed",Other crops,"Feed, pulp of fruit",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Waste of fruit, fruit pomace and marc, excluding marc of grapes."
629,Beet Tops,#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Beet tops, consisting of the leaves and upper part of the root, are used for feed. They account for about 25% of plant weight, though it is uncertain how much, if any, of this is included in national production statistics."
630,Cane Tops,Other crops,Cane tops,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"The leaves and upper part of the stalks, which are used for feed. The tops represent about 10% of the weight of the plant."
631,"Waters, Ice and Snow",Non crops,"Waters,ice etc",Beverages,No,#N/A,15 - BEVERAGES,,,"Includes natural or artificial mineral waters without added sugar, sweeteners or flavourings."
632,"Alcohol, Non-Food Purposes",#N/A,#N/A,#N/A,#N/A,#N/A,15 - BEVERAGES,,,Includes undenatured ethyl alcohol (strength by volume of > 80%) and denatured (any strength).
633,"Beverages, Non-Alcoholic",Other crops,"Beverages, non alcoholic",Beverages,No,#N/A,15 - BEVERAGES,,,"Includes sweetened or flavoured mineral waters and other non-alcoholic beverages, such as lemonade, orangeade, cola, etc. Excludes fruit and vegetable juices."
634,"Beverages, Distilled Alcoholic",Other crops,"Beverages, distilled alcoholic",Alcohol+Tobacco,No,#N/A,15 - BEVERAGES,,,"Includes undenatured ethyl alcohol (strength by volume < 80%); spirits, liqueurs and other spirituous beverages and preparations."
635,Straw and Husks,Other crops,Straw husks,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed, or in the form of pellets."
636,Maize for forage,Flex crops,Maize,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Maize cut green as grass.
637,Sorghum for forage,#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Usually sweet sorghum, so called for the sweet juice in the stem, which is cut green as grass."
638,Rye grass for forage,#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,"Lolium multiflorum
Lolium perenne","Italian ryegrass
English, perennial ryegrass",Quick-growing grasses.
639,Grasses nes for forage,Other crops,"Forage and silage, grasses nes",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,"Including among all: 
Agrostis spp. 
Poa spp. 
Sorghum almum 
Festuca spp. 
Pennisetum purpureum 
Dactylis glomerata 
Chloris gayana 
Sorghum vulgare var. sudanense 
Phleum pratense","
bent, redtop, fiorin grass 
bluegrass 
Columbus grass 
fescue 
Napier, elephant grass 
orchard grass 
Rhodes grass 
Sudan grass 
Timothy grass","Includes species used for cereal production, if cut green for fodder"
640,Clover for forage,Other crops,"Forage and silage, clover",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,Trifolium spp.,,"Various species grown for pasture, green fodder or silage."
641,Alfalfa for forage,Other crops,Alfalfa,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,Medicago sativa,,"A deep-rooted perennial herb used for green fodder, for hay or silage, and for pasture."
642,Green oilseeds for silage,#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Cut green as grass.
643,Legumes for silage,Other crops,"Forage and silage, legumes",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,"Including among all: 
Lotus corniculatus 
Lespedeza spp. 
Pueraria lobata 
Sesbania spp. 
Onobrychis sativa 
Hedysarum coronarium","
birdsfoot, trefoil 
lespedeza 
kudzu 
sesbania 
sainfoin, esparcette 
sulla","Includes species of pulses, if harvested for fodder."
644,Cabbage for fodder,#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,"Brassica chinensis 
Brassica oleracea",,Especially cultivated for fodder.
645,Pumpkins for fodder,#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,Cucurbita spp.,,Especially cultivated for fodder.
646,Turnips for fodder,Other crops,Turnips for fodder,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,Brassica rapa var. rapifera,,Especially cultivated for fodder.
647,Beets for fodder,Potential flex crops,Sugar beet,Fodder,Yes,#N/A,11 - FODDER CROPS AND PRODUCTS,Beta vulgaris,"beet, beetroot, mangold",Especially cultivated for fodder.
648,Carrots for fodder,#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,Daucus carota,,Especially cultivated for fodder.
649,Swedes for fodder,Other crops,Swedes for fodder,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,Brassica napus var. napobrassica,"rutabaga, swede, swede turnip",Especially cultivated for fodder.
650,"Leaves, Tops and Vines nes",#N/A,#N/A,#N/A,#N/A,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Vegetable products that are not specifically grown for animal feed, but are used for that purpose."
651,Forage Products nes,Other crops,Forage products,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Plants specifically grown for animal feed.
652,Vegetable Products for Feed nes,Other crops,"Feed, vegetable products nes",Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Vegetable products, vegetable waste, residues and by-products from the industrial processing of vegetable materials."
653,Food Wastes,Other crops,Food wastes,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,"Sweetened forage and preparations of a kind used for animal feed, e.g. wine lees, argol."
655,"Vegetables, roots fodder nes",Other crops,Vegetables and roots fodder,Fodder,No,#N/A,11 - FODDER CROPS AND PRODUCTS,,,Any other crop of the vegetable group that is cultivated for fodder.
656,Coffee green,Commodity crops,Coffee,Coffee+cocoa+tea+spices,Yes,Crops Primary,12 - STIMULANT CROPS AND DERIVED PRODUCTS,"Coffea spp.: 
Coffea arabica 
Coffea robusta 
Coffea liberica",,Raw coffee in all forms.
657,"Coffee, Roasted",Commodity crops,Coffee,Coffee+cocoa+tea+spices,Yes,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,"With or without caffeine, and whether or not ground."
658,Coffee Substitutes,Commodity crops,Coffee,Coffee+cocoa+tea+spices,Yes,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,Coffee substitutes containing coffee in any proportion.
659,Coffee Extracts,Commodity crops,Coffee,Coffee+cocoa+tea+spices,Yes,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,"Essences and concentrates, including instant coffee, roasted chicory and other coffee substitutes, extracts and essences thereof."
660,Coffee Husks and Skins,Commodity crops,Coffee,Coffee+cocoa+tea+spices,Yes,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,No definition available.
661,Cocoa beans,Commodity crops,Cocoa,Coffee+cocoa+tea+spices,Yes,Crops Primary,12 - STIMULANT CROPS AND DERIVED PRODUCTS,Theobroma cacao,,"The seeds contained in the fruit of the cacao- tree, including whole or broken, raw or roasted."
662,Cocoa Paste,Commodity crops,Cocoa,Coffee+cocoa+tea+spices,Yes,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,Obtained by grinding roasted cocoa beans. Also called liquor. Not defatted.
663,Cocoa Husks and Shells,Commodity crops,Cocoa,Fodder,Yes,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,Including skins and other cocoa waste.
664,Cocoa Butter,Commodity crops,Cocoa,Coffee+cocoa+tea+spices,Yes,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,Obtained by hot-pressing either cocoa paste or the whole bean. Includes the fat and oil.
665,Cocoa Powder and Cake,Commodity crops,Cocoa,Coffee+cocoa+tea+spices,Yes,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,"Wholly or partly defatted paste (cake) and cake reduced to powder, without added sugar or other sweeteners."
666,Chocolate Products nes,Other crops,Chocolate products nes,Coffee+cocoa+tea+spices,No,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,"Includes sweetened cocoa powder, chocolate and other food preparations containing cocoa, as well as sugar confectionery containing cocoa in any amount. Excludes white chocolate (see 0168 in Group 3)."
667,Tea,Commodity crops,Tea,Coffee+cocoa+tea+spices,Yes,Crops Primary,12 - STIMULANT CROPS AND DERIVED PRODUCTS,"Camellia sinensis 
Thea sinensis 
Thea assaamica",,"Includes green tea (unfermented), black tea (fermented), and partially fermented tea. Excludes green tea eaten as a vegetable."
671,Mate,Spices,Mate,Coffee+cocoa+tea+spices,No,Crops Primary,12 - STIMULANT CROPS AND DERIVED PRODUCTS,Ilex paraguayensis,,The dried leaves of certain shrubs of the holly family which grow in South America. Prepared in a way similar to tea.
672,Extracts of Tea and Mate,Commodity crops,Tea,Coffee+cocoa+tea+spices,Yes,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,"Includes essences, concentrates and preparations of tea and maté."
674,Tea nes,#N/A,#N/A,#N/A,#N/A,#N/A,12 - STIMULANT CROPS AND DERIVED PRODUCTS,,,"Various plants used for making infusions like tea, i.e. herbal teas."
677,Hops,Other crops,Hops,Alcohol+Tobacco,No,Crops Primary,13 - TOBACCO AND RUBBER AND OTHER CROPS,Humulus lupulus,,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets. Includes lupuline, a yellow resinous powder that covers the hop cones. Mainly used in the brewing industry to give flavour to beer."
687,Pepper,Spices,Pepper (piper spp.),Coffee+cocoa+tea+spices,No,Crops Primary,10 - SPICES,"Piper nigrum 
Piper longum","black, white pepper 
long pepper","Perennial climbing vines. Includes whole, crushed or ground berries. Black pepper is produced from partially ripe berries, while white pepper is from fully ripe berries which have had the outer hull removed."
689,Pimento,Spices,"Chillies and peppers, dry",Coffee+cocoa+tea+spices,No,Crops Primary,10 - SPICES,"Capsicum frutescens; Capsicum annuum 
Pimenta officinalis","red and cayenne pepper, paprika, chillies 
allspice, Jamaica pepper",Uncrushed or unground fresh pimentos are considered to be vegetables. See Group 7.
692,Vanilla,Spices,Vanilla,Coffee+cocoa+tea+spices,No,Crops Primary,10 - SPICES,"Vanilla planifolia 
Vanilla pompona",,"The fruit (or bean) of a climbing plant of the orchid family. Includes whole, crushed or ground."
693,Cinnamon (canella),Spices,Cinnamon (canella),Coffee+cocoa+tea+spices,No,Crops Primary,10 - SPICES,"Cinnamomum zeylanicum 
Cinnamomum cassia","Ceylon cinnamon 
Chinese, common cinnamon, cassia","The inner bark of young branches of certain trees of the Laurus family. Includes cinnamon- tree flowers, cinnamon fruit and cinnamon waste (chips), whether whole, crushed or ground."
698,Cloves,Spices,Cloves,Coffee+cocoa+tea+spices,No,Crops Primary,10 - SPICES,"Eugenia caryophyllata 
Caryophyllus aromaticus",,"The whole fruit of the clove tree, including the flowers picked before maturity and dried in the sun, and the stems of the clove flowers."
702,"Nutmeg, mace, cardamoms",Spices,"Nutmeg, mace and cardamoms",Coffee+cocoa+tea+spices,No,Crops Primary,10 - SPICES,"Myristica fragrans 
Elettaria cardamomum 
Aframomum angustifolium; Aframomum hambury; Amomun aromaticum; Amomun cardamomum 
Aframomum melegueta","Nutmeg, mace 
cluster cardamon 
other cardamons 

Malaguetta pepper, grains of paradise",Nutmeg is the inner brown kernel of the fruit of the nutmeg tree. Mace is the net-like membrane between the outer shell and the kernel. Cardamon seeds are enclosed in the capsule produced by perennial herbs of the Zingiberaceae family.
711,"Anise, badian, fennel",Spices,"Anise, badian, fennel, coriander",Coffee+cocoa+tea+spices,Yes,Crops Primary,10 - SPICES,"Including among all: 
Pimpinella anisum 
Illicium verum 
Carum carvi 
Coriandrum sativum 
Cuminum cyminum 
Foeniculum vulgare 
Juniperus communis","
anise 
badian or star anise 
caraway 
coriander 
cumin 
fennel 
juniper berries","Seeds and berries from the various plants listed. They are normally used as spices, but also have industrial (e.g. in distilleries) and medicinal applications."
720,Ginger,Spices,Ginger,Coffee+cocoa+tea+spices,No,Crops Primary,10 - SPICES,Zingiber officinale,,"Rhizome of a perennial herb. It also is used for making beverages. Includes fresh, provisionally preserved or dried, whereas ginger preserved in sugar or syrup is excluded."
723,Spices nes,Spices,"Spices, nes",Coffee+cocoa+tea+spices,No,Crops Primary,10 - SPICES,"Including among all: 
Laurus nobilis 
Anethum graveolens 
Trigonella foenum-graecum 
Crocus sativus 
Thymus vulgaris 
Curcuma longa","
bay leaves 
dill seed 
fenugreek seed 
saffron 
thyme 
turmeric","Other spices that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report spices under this heading that are classified individually by FAO. This heading also includes curry powder and other mixtures of different spices."
737,Oil of citronella,Other crops,0,Miscellaneous,0,#N/A,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,Essential oil extracted from Cymbopogon nardus.
748,"Peppermint, Spearmint",Other crops,0,Coffee+cocoa+tea+spices,0,Crops Primary,13 - TOBACCO AND RUBBER AND OTHER CROPS,"Mentha spp.: 
Mentha piperita",,"Leaves and flowers are used in the perfumery, food and other industries."
753,Essential oils nes,Other crops,0,Miscellaneous,0,#N/A,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,"Extracted from many plants and used mainly in the perfumery, food and other industries."
754,"Pyrethrum, dried flowers",Other crops,0,Miscellaneous,0,Crops Primary,13 - TOBACCO AND RUBBER AND OTHER CROPS,Chrysanthemum cinerariifolium,,"Includes leaves, stems and flowers. For insecticides, fungicides and similar products."
755,Pyrethrum Extract,Other crops,0,Miscellaneous,0,#N/A,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,Obtained from the flowers by extraction using an organic solvent.
756,Pyrethrum Marc,#N/A,#N/A,#N/A,#N/A,#N/A,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,The waste from pyrethrum processing.
767,Cotton Lint,Commodity crops,Cotton,Non-food,Yes,Fibre Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,Gossypium spp.,"Fibres from ginning seed cotton that have not been carded or combed. Trade data also include fibres that have been cleaned, bleached, dyed or rendered absorbent."
768,"Cotton, Carded or Combed",Commodity crops,Cotton,Non-food,Yes,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Cotton (including garnetted stock and other cotton waste) which has been carded or combed, whether or not further prepared for spinning. May be bleached or dyed."
769,Cotton Waste,Commodity crops,Cotton,Non-food,Yes,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Waste is produced when cotton is prepared for spinning, or during spinning operations, weaving, knitting, etc., or from garnetting cotton goods."
770,Cotton Linters,Commodity crops,Cotton,Non-food,Yes,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Very short fibres that cover the seeds after ginning and that are very high in cellulose.
771,"Flax, raw or retted",Other crops,Flax fibre raw,Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Linum usitatissimum,Flax Straw,Flax is cultivated for seed as well as for fibre. The fibre is obtained from the stem of the plant. Data are reported in terms of straw.
773,Flax fibre and tow,Other crops,Flax fibre and tow,Non-food,No,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Broken, scutched, hackled etc. but not spun. Traditionally, FAO has used this commodity to identify production in its raw state; in reality, the primary agricultural product is the commodity 0771, which can either be used for the production of fibre or for other purposes."
774,Flax tow and waste,Other crops,Flax tow waste,Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Includes yarn waste and garnetted stock.
777,Hemp fibre and tow,Other crops,Hemp tow waste,Non-food,No,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Cannabis sativa,,"This plant is cultivated for seed as well as for fibre. The fibre is obtained from the stem of the plant. Trade data include raw, retted, scutched, combed fibre, tow and waste."
778,Kapok fibre,Other crops,Kapok fibre,Non-food,No,#N/A,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Ceiba pentandra,,"This plant is cultivated for seed as well as for fibre. Trade data cover only fibres that have been crushed, carded or combed for spinning."
780,Jute,Other crops,Jute,Non-food,No,Crops Primary,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Corchorus capsularis
Corchorus olitorius","white jute
red jute, tossa","Trade data cover raw or processed jute (but not spun), tow and waste, yarn waste and garnetted stock and may include jute-like fibres."
